,#clustering method,cluster number,cluster color,gene count,protein name,protein identifier,protein description
71,MCL,2,Orange,41,FBRSL1,9606.ENSP00000396160,Fibrosin-1-like protein; Fibrosin like 1; Belongs to the AUTS2 family
72,MCL,2,Orange,41,GLRA2,9606.ENSP00000218075,Glycine receptor subunit alpha-2; Glycine receptors are ligand-gated chloride channels. Channel opening is triggered by extracellular glycine. Channel opening is also triggered by taurine and beta-alanine. Plays a role in the down-regulation of neuronal excitability. Contributes to the generation of inhibitory postsynaptic currents. Plays a role in cellular responses to ethanol
73,MCL,2,Orange,41,GPHN,9606.ENSP00000417901,"Gephyrin; Microtubule-associated protein involved in membrane protein-cytoskeleton interactions. It is thought to anchor the inhibitory glycine receptor (GLYR) to subsynaptic microtubules. Catalyzes two steps in the biosynthesis of the molybdenum cofactor. In the first step, molybdopterin is adenylated. Subsequently, molybdate is inserted into adenylated molybdopterin and AMP is released; In the C-terminal section; belongs to the MoeA family"
74,MCL,2,Orange,41,GRIA1,9606.ENSP00000428994,"Glutamate receptor 1; Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L- glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. In the presence of CACNG4 or CACNG7 or CACNG8, shows resensitization which is characterized by a delayed accumulat [...] "
75,MCL,2,Orange,41,GRIA2,9606.ENSP00000296526,"Glutamate receptor 2; Receptor for glutamate that functions as ligand-gated ion channel in the central nervous system and plays an important role in excitatory synaptic transmission. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L- glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of [...] "
76,MCL,2,Orange,41,GRID2,9606.ENSP00000282020,"Glutamate receptor ionotropic, delta-2; Receptor for glutamate. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists. Promotes synaptogenesis and mediates the D-Serine- dependent long term depression signals and AMPA receptor endocytosis of cerebellar parallel fiber-Purkinje cell (PF-PC) synapses through the beta-NRX1-CBLN1-GRID2 triad complex; Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRID2 subfamily"
77,MCL,2,Orange,41,GRIK2,9606.ENSP00000397026,"Glutamate receptor ionotropic, kainate 2; Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L- glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. May be involved in the transmission of light information from the retina to the hypothalamus.  [...] "
78,MCL,2,Orange,41,GRIK3,9606.ENSP00000362183,"Glutamate receptor ionotropic, kainate 3; Receptor for glutamate that functions as ligand-gated ion channel in the central nervous system and plays an important role in excitatory synaptic transmission. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists. This receptor binds domoate > kainate >> L-glutamate = quisqualate >> AMPA = NMDA"
79,MCL,2,Orange,41,GRIK4,9606.ENSP00000435648,"Glutamate receptor ionotropic, kainate 4; Receptor for glutamate. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists; Glutamate ionotropic receptor kainate type subunits"
80,MCL,2,Orange,41,GRIK5,9606.ENSP00000262895,"Glutamate receptor ionotropic, kainate 5; Receptor for glutamate. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists. This receptor binds kainate > quisqualate > domoate > L- glutamate >> AMPA >> NMDA = 1S,3R-ACPD; Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRIK5 subfamily"
81,MCL,2,Orange,41,GRIN1,9606.ENSP00000360608,"Glutamate receptor ionotropic, NMDA 1; Component of NMDA receptor complexes that function as heterotetrameric, ligand-gated ion channels with high calcium permeability and voltage-dependent sensitivity to magnesium. Channel activation requires binding of the neurotransmitter glutamate to the epsilon subunit, glycine binding to the zeta subunit, plus membrane depolarization to eliminate channel inhibition by Mg(2+). Sensitivity to glutamate and channel kinetics depend on the subunit composition; Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR1/GRIN1 subfamily"
82,MCL,2,Orange,41,GRIN2A,9606.ENSP00000379818,"Glutamate receptor ionotropic, NMDA 2A; Component of NMDA receptor complexes that function as heterotetrameric, ligand-gated ion channels with high calcium permeability and voltage-dependent sensitivity to magnesium. Channel activation requires binding of the neurotransmitter glutamate to the epsilon subunit, glycine binding to the zeta subunit, plus membrane depolarization to eliminate channel inhibition by Mg(2+). Sensitivity to glutamate and channel kinetics depend on the subunit composition; channels containing GRIN1 and GRIN2A have higher sensitivity to glutamate and faster kineti [...] "
83,MCL,2,Orange,41,GRIN2B,9606.ENSP00000477455,"Glutamate receptor ionotropic, NMDA 2B; Component of NMDA receptor complexes that function as heterotetrameric, ligand-gated ion channels with high calcium permeability and voltage-dependent sensitivity to magnesium. Channel activation requires binding of the neurotransmitter glutamate to the epsilon subunit, glycine binding to the zeta subunit, plus membrane depolarization to eliminate channel inhibition by Mg(2+). Sensitivity to glutamate and channel kinetics depend on the subunit composition. In concert with DAPK1 at extrasynaptic sites, acts as a central mediator for stroke damage. [...] "
84,MCL,2,Orange,41,GRM5,9606.ENSP00000306138,Metabotropic glutamate receptor 5; G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling activates a phosphatidylinositol-calcium second messenger system and generates a calcium-activated chloride current. Plays an important role in the regulation of synaptic plasticity and the modulation of the neural network activity; Glutamate metabotropic receptors
85,MCL,2,Orange,41,HOMER1,9606.ENSP00000334382,"Homer protein homolog 1; Postsynaptic density scaffolding protein. Binds and cross-links cytoplasmic regions of GRM1, GRM5, ITPR1, DNM3, RYR1, RYR2, SHANK1 and SHANK3. By physically linking GRM1 and GRM5 with ER-associated ITPR1 receptors, it aids the coupling of surface receptors to intracellular calcium release. May also couple GRM1 to PI3 kinase through its interaction with AGAP2. Isoform 1 regulates the trafficking and surface expression of GRM5. Isoform 3 acts as a natural dominant negative, in dynamic competition with constitutively expressed isoform 1 to regulate synaptic metabo [...] "
86,MCL,2,Orange,41,KCNC1,9606.ENSP00000265969,"Potassium voltage-gated channel subfamily C member 1; Voltage-gated potassium channel that plays an important role in the rapid repolarization of fast-firing brain neurons. The channel opens in response to the voltage difference across the membrane, forming a potassium-selective channel through which potassium ions pass in accordance with their electrochemical gradient. Can form functional homotetrameric channels and heterotetrameric channels that contain variable proportions of KCNC2, and possibly other family members as well. Contributes to fire sustained trains of very brief action  [...] "
87,MCL,2,Orange,41,LRFN2,9606.ENSP00000345985,Leucine-rich repeat and fibronectin type-III domain-containing protein 2; Promotes neurite outgrowth in hippocampal neurons. Enhances the cell surface expression of 2 NMDA receptor subunits GRIN1 and GRIN2A. May play a role in redistributing DLG4 to the cell periphery (By similarity); Fibronectin type III domain containing
88,MCL,2,Orange,41,MAP1A,9606.ENSP00000300231,Microtubule-associated protein 1A; Structural protein involved in the filamentous cross- bridging between microtubules and other skeletal elements
89,MCL,2,Orange,41,NLGN1,9606.ENSP00000392500,"Neuroligin-1; Cell surface protein involved in cell-cell-interactions via its interactions with neurexin family members. Plays a role in synapse function and synaptic signal transmission, and probably mediates its effects by recruiting and clustering other synaptic proteins. May promote the initial formation of synapses, but is not essential for this. In vitro, triggers the de novo formation of presynaptic structures. May be involved in specification of excitatory synapses. Required to maintain wakefulness quality and normal synchrony of cerebral cortex activity during wakefulness and  [...] "
90,MCL,2,Orange,41,NLGN2,9606.ENSP00000305288,"Neuroligin-2; Transmembrane scaffolding protein involved in cell-cell interactions via its interactions with neurexin family members. Mediates cell-cell interactions both in neurons and in other types of cells, such as Langerhans beta cells. Plays a role in synapse function and synaptic signal transmission, especially via gamma- aminobutyric acid receptors (GABA(A) receptors). Functions by recruiting and clustering synaptic proteins. Promotes clustering of postsynaptic GABRG2 and GPHN. Modulates signaling by inhibitory synapses, and thereby plays a role in controlling the ratio of sign [...] "
91,MCL,2,Orange,41,PPP1R1B,9606.ENSP00000254079,Protein phosphatase 1 regulatory subunit 1B; Inhibitor of protein-phosphatase 1
92,MCL,2,Orange,41,RIMS3,9606.ENSP00000361769,Regulating synaptic membrane exocytosis protein 3; Regulates synaptic membrane exocytosis
93,MCL,2,Orange,41,SHANK1,9606.ENSP00000293441,"SH3 and multiple ankyrin repeat domains protein 1; Seems to be an adapter protein in the postsynaptic density (PSD) of excitatory synapses that interconnects receptors of the postsynaptic membrane including NMDA-type and metabotropic glutamate receptors via complexes with GKAP/PSD-95 and Homer, respectively, and the actin-based cytoskeleton. Plays a role in the structural and functional organization of the dendritic spine and synaptic junction; Ankyrin repeat domain containing"
94,MCL,2,Orange,41,SHANK2,9606.ENSP00000469689,"SH3 and multiple ankyrin repeat domains protein 2; Seems to be an adapter protein in the postsynaptic density (PSD) of excitatory synapses that interconnects receptors of the postsynaptic membrane including NMDA-type and metabotropic glutamate receptors, and the actin-based cytoskeleton. May play a role in the structural and functional organization of the dendritic spine and synaptic junction; Belongs to the SHANK family"
95,MCL,2,Orange,41,SLC1A2,9606.ENSP00000278379,"Excitatory amino acid transporter 2; Sodium-dependent, high-affinity amino acid transporter that mediates the uptake of L-glutamate and also L-aspartate and D-aspartate. Functions as a symporter that transports one amino acid molecule together with two or three Na(+) ions and one proton, in parallel with the counter-transport of one K(+) ion. Mediates Cl(-) flux that is not coupled to amino acid transport; this avoids the accumulation of negative charges due to aspartate and Na(+) symport. Essential for the rapid removal of released glutamate from the synaptic cleft, and for terminatin [...] "
96,MCL,2,Orange,41,SLC25A39,9606.ENSP00000366299,Solute carrier family 25 member 39; Required for normal heme biosynthesis; Belongs to the mitochondrial carrier (TC 2.A.29) family
97,MCL,2,Orange,41,SLC6A1,9606.ENSP00000287766,Sodium- and chloride-dependent GABA transporter 1; Terminates the action of GABA by its high affinity sodium-dependent reuptake into presynaptic terminals; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A1 subfamily
98,MCL,2,Orange,41,SLITRK5,9606.ENSP00000366283,SLIT and NTRK-like protein 5; Suppresses neurite outgrowth; Belongs to the SLITRK family
99,MCL,2,Orange,41,SYN1,9606.ENSP00000295987,"Synapsin-1; Neuronal phosphoprotein that coats synaptic vesicles, binds to the cytoskeleton, and is believed to function in the regulation of neurotransmitter release. The complex formed with NOS1 and CAPON proteins is necessary for specific nitric-oxid functions at a presynaptic level; Synapsins"
100,MCL,2,Orange,41,SYNGAP1,9606.ENSP00000403636,"Ras/Rap GTPase-activating protein SynGAP; Major constituent of the PSD essential for postsynaptic signaling. Inhibitory regulator of the Ras-cAMP pathway. Member of the NMDAR signaling complex in excitatory synapses, it may play a role in NMDAR-dependent control of AMPAR potentiation, AMPAR membrane trafficking and synaptic plasticity. Regulates AMPAR- mediated miniature excitatory postsynaptic currents. Exhibits dual GTPase-activating specificity for Ras and Rap. May be involved in certain forms of brain injury, leading to long-term learning and memory deficits (By similarity); C2 and [...] "
101,MCL,2,Orange,41,SYP,9606.ENSP00000263233,Synaptophysin; Possibly involved in structural functions as organizing other membrane components or in targeting the vesicles to the plasma membrane. Involved in the regulation of short-term and long-term synaptic plasticity (By similarity); Synaptophysins
