gene_symbol,GO_term
ADA,negative regulation of thymocyte apoptotic process
ADA,neuronal cell body
ADA,placenta development
ADA,plasma membrane
ADA,positive regulation of B cell proliferation
ADA,positive regulation of T cell differentiation in thymus
ADA,positive regulation of T cell receptor signaling pathway
ADA,positive regulation of alpha-beta T cell differentiation
ADA,positive regulation of calcium-mediated signaling
ADA,positive regulation of germinal center formation
ADA,positive regulation of heart rate
ADA,positive regulation of smooth muscle contraction
ADA,protein binding
ADA,purine nucleoside binding
ADA,purine nucleotide salvage
ADA,purine ribonucleoside monophosphate biosynthetic process
ADA,purine-containing compound salvage
ADA,regulation of cell-cell adhesion mediated by integrin
ADA,response to drug
ADA,response to hydrogen peroxide
ADA,response to hypoxia
ADA,response to morphine
ADA,response to vitamin E
ADA,trophectodermal cell differentiation
ADA,xanthine biosynthetic process
ADA,zinc ion binding
ADA,zinc ion binding
ADCY3,ATP binding
ADCY3,G protein-coupled receptor signaling pathway
ADCY3,Golgi apparatus
ADCY3,acrosome reaction
ADCY3,activation of adenylate cyclase activity
ADCY3,activation of protein kinase A activity
ADCY3,adenylate cyclase activity
ADCY3,adenylate cyclase activity
ADCY3,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY3,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY3,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY3,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
ADCY3,cAMP biosynthetic process
ADCY3,cAMP biosynthetic process
ADCY3,calmodulin binding
ADCY3,cellular response to forskolin
ADCY3,cellular response to glucagon stimulus
ADCY3,cilium
ADCY3,cytoplasm
ADCY3,flagellated sperm motility
ADCY3,integral component of membrane
ADCY3,integral component of plasma membrane
ADCY3,membrane
ADCY3,metal ion binding
ADCY3,olfactory learning
ADCY3,plasma membrane
ADCY3,plasma membrane
ADCY3,renal water homeostasis
ADCY3,sensory perception of smell
ADCY3,signal transduction
ADCY3,single fertilization
ADCY5,ATP binding
ADCY5,G protein-coupled adenosine receptor signaling pathway
ADCY5,G protein-coupled receptor signaling pathway
ADCY5,activation of adenylate cyclase activity
ADCY5,activation of protein kinase A activity
ADCY5,adenylate cyclase activity
ADCY5,adenylate cyclase activity
ADCY5,adenylate cyclase activity
ADCY5,adenylate cyclase binding
ADCY5,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY5,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY5,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY5,adenylate cyclase-activating dopamine receptor signaling pathway
ADCY5,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
ADCY5,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
ADCY5,adenylate cyclase-inhibiting dopamine receptor signaling pathway
ADCY5,cAMP biosynthetic process
ADCY5,cAMP biosynthetic process
ADCY5,cAMP biosynthetic process
ADCY5,cellular response to forskolin
ADCY5,cellular response to glucagon stimulus
ADCY5,cilium
ADCY5,integral component of membrane
ADCY5,integral component of plasma membrane
ADCY5,intermediate filament cytoskeleton
ADCY5,locomotory behavior
ADCY5,metal ion binding
ADCY5,neuromuscular process controlling balance
ADCY5,plasma membrane
ADCY5,plasma membrane
ADCY5,positive regulation of cytosolic calcium ion concentration
ADCY5,regulation of insulin secretion involved in cellular response to glucose stimulus
ADCY5,renal water homeostasis
ADCY5,scaffold protein binding
ADK,AMP salvage
ADK,ATP binding
ADK,RNA binding
ADK,adenosine kinase activity
ADK,cytosol
ADK,cytosol
ADK,cytosol
ADK,dATP biosynthetic process
ADK,metal ion binding
ADK,nucleoplasm
ADK,nucleus
ADK,phosphorylation
ADK,purine ribonucleoside salvage
ADK,purine-containing compound salvage
ADK,ribonucleoside monophosphate biosynthetic process
ADNP,DNA binding
ADNP,"DNA-binding transcription factor activity, RNA polymerase II-specific"
ADNP,RNA polymerase II transcription regulator complex
ADNP,activation of protein kinase activity
ADNP,axon
ADNP,beta-tubulin binding
ADNP,cGMP-mediated signaling
ADNP,cellular response to extracellular stimulus
ADNP,chromatin
ADNP,copper ion binding
ADNP,cytoplasm
ADNP,dendrite
ADNP,estrous cycle
ADNP,extracellular space
ADNP,negative regulation of gene expression
ADNP,negative regulation of neuron apoptotic process
ADNP,negative regulation of protein binding
ADNP,negative regulation of synaptic transmission
ADNP,neuronal cell body
ADNP,nitric oxide homeostasis
ADNP,nucleus
ADNP,peptide binding
ADNP,positive regulation of axon extension
ADNP,positive regulation of peptidyl-tyrosine phosphorylation
ADNP,positive regulation of synapse assembly
ADNP,protein binding
ADNP,regulation of gene expression
ADNP,regulation of protein ADP-ribosylation
ADNP,regulation of transcription by RNA polymerase II
ADNP,response to carbohydrate
ADNP,response to inorganic substance
ADNP,short-term memory
ADORA2A,G protein-coupled adenosine receptor activity
ADORA2A,G protein-coupled adenosine receptor signaling pathway
ADORA2A,G protein-coupled receptor signaling pathway
ADORA2A,Golgi membrane
ADORA2A,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADORA2A,adenylate cyclase-modulating G protein-coupled receptor signaling pathway
ADORA2A,alpha-actinin binding
ADORA2A,apoptotic process
ADORA2A,astrocyte activation
ADORA2A,axolemma
ADORA2A,blood circulation
ADORA2A,blood coagulation
ADORA2A,cell-cell signaling
ADORA2A,cellular defense response
ADORA2A,cellular protein metabolic process
ADORA2A,central nervous system development
ADORA2A,dendrite
ADORA2A,eating behavior
ADORA2A,enzyme binding
ADORA2A,excitatory postsynaptic potential
ADORA2A,identical protein binding
ADORA2A,inflammatory response
ADORA2A,inhibitory postsynaptic potential
ADORA2A,integral component of plasma membrane
ADORA2A,integral component of postsynaptic membrane
ADORA2A,integral component of presynaptic membrane
ADORA2A,intermediate filament
ADORA2A,locomotory behavior
ADORA2A,membrane
ADORA2A,membrane depolarization
ADORA2A,negative regulation of alpha-beta T cell activation
ADORA2A,negative regulation of cell population proliferation
ADORA2A,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
ADORA2A,negative regulation of inflammatory response
ADORA2A,negative regulation of locomotion
ADORA2A,negative regulation of neuron apoptotic process
ADORA2A,negative regulation of protein kinase activity
ADORA2A,negative regulation of vascular permeability
ADORA2A,neuron projection morphogenesis
ADORA2A,neuronal cell body
ADORA2A,phagocytosis
ADORA2A,plasma membrane
ADORA2A,plasma membrane
ADORA2A,"positive regulation of acetylcholine secretion, neurotransmission"
ADORA2A,positive regulation of apoptotic signaling pathway
ADORA2A,"positive regulation of circadian sleep/wake cycle, sleep"
ADORA2A,positive regulation of glutamate secretion
ADORA2A,positive regulation of long-term synaptic potentiation
ADORA2A,positive regulation of protein secretion
ADORA2A,positive regulation of renal sodium excretion
ADORA2A,"positive regulation of synaptic transmission, GABAergic"
ADORA2A,"positive regulation of synaptic transmission, glutamatergic"
ADORA2A,positive regulation of urine volume
ADORA2A,postsynaptic density
ADORA2A,prepulse inhibition
ADORA2A,presynaptic active zone
ADORA2A,protein binding
ADORA2A,protein kinase C-activating G protein-coupled receptor signaling pathway
ADORA2A,protein-containing complex binding
ADORA2A,regulation of calcium ion transport
ADORA2A,regulation of mitochondrial membrane potential
ADORA2A,regulation of norepinephrine secretion
ADORA2A,"regulation of transcription, DNA-templated"
ADORA2A,response to amphetamine
ADORA2A,response to caffeine
ADORA2A,response to drug
ADORA2A,sensory perception
ADORA2A,"synaptic transmission, cholinergic"
ADORA2A,"synaptic transmission, dopaminergic"
ADORA2A,"synaptic transmission, glutamatergic"
ADORA2A,type 5 metabotropic glutamate receptor binding
ADORA2A,vasodilation
ADORA3,G protein-coupled adenosine receptor activity
ADORA3,G protein-coupled adenosine receptor signaling pathway
ADORA3,G protein-coupled receptor signaling pathway
ADORA3,activation of adenylate cyclase activity
ADORA3,inflammatory response
ADORA3,integral component of plasma membrane
ADORA3,negative regulation of NF-kappaB transcription factor activity
ADORA3,negative regulation of cell migration
ADORA3,negative regulation of cell population proliferation
ADORA3,plasma membrane
ADORA3,regulation of heart contraction
ADORA3,response to wounding
ADORA3,signal transduction
ADRB2,G protein-coupled receptor activity
ADRB2,G protein-coupled receptor signaling pathway
ADRB2,Golgi apparatus
ADRB2,activation of adenylate cyclase activity
ADRB2,activation of transmembrane receptor protein tyrosine kinase activity
ADRB2,adenylate cyclase binding
ADRB2,adenylate cyclase-activating adrenergic receptor signaling pathway
ADRB2,adenylate cyclase-modulating G protein-coupled receptor signaling pathway
ADRB2,adrenergic receptor signaling pathway
ADRB2,amyloid-beta binding
ADRB2,apical plasma membrane
ADRB2,beta2-adrenergic receptor activity
ADRB2,beta2-adrenergic receptor activity
ADRB2,beta2-adrenergic receptor activity
ADRB2,bone resorption
ADRB2,brown fat cell differentiation
ADRB2,cell surface receptor signaling pathway
ADRB2,cellular response to amyloid-beta
ADRB2,clathrin-coated vesicle membrane
ADRB2,desensitization of G protein-coupled receptor signaling pathway by arrestin
ADRB2,diet induced thermogenesis
ADRB2,early endosome
ADRB2,endosome
ADRB2,endosome membrane
ADRB2,endosome to lysosome transport
ADRB2,heat generation
ADRB2,identical protein binding
ADRB2,integral component of plasma membrane
ADRB2,integral component of plasma membrane
ADRB2,lysosome
ADRB2,membrane
ADRB2,membrane organization
ADRB2,negative regulation of multicellular organism growth
ADRB2,negative regulation of smooth muscle contraction
ADRB2,norepinephrine binding
ADRB2,norepinephrine binding
ADRB2,norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure
ADRB2,nucleus
ADRB2,plasma membrane
ADRB2,plasma membrane
ADRB2,positive regulation of AMPA receptor activity
ADRB2,positive regulation of MAPK cascade
ADRB2,positive regulation of autophagosome maturation
ADRB2,positive regulation of bone mineralization
ADRB2,positive regulation of cAMP-dependent protein kinase activity
ADRB2,positive regulation of cold-induced thermogenesis
ADRB2,positive regulation of lipophagy
ADRB2,positive regulation of mini excitatory postsynaptic potential
ADRB2,positive regulation of protein kinase A signaling
ADRB2,positive regulation of protein serine/threonine kinase activity
ADRB2,positive regulation of protein ubiquitination
ADRB2,positive regulation of transcription by RNA polymerase II
ADRB2,potassium channel regulator activity
ADRB2,protein binding
ADRB2,protein deubiquitination
ADRB2,protein homodimerization activity
ADRB2,protein-containing complex binding
ADRB2,receptor complex
ADRB2,receptor-mediated endocytosis
ADRB2,regulation of sodium ion transport
ADRB2,response to cold
ADRB2,response to psychosocial stress
ADSL,'de novo' AMP biosynthetic process
ADSL,'de novo' AMP biosynthetic process
ADSL,'de novo' IMP biosynthetic process
ADSL,(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity
ADSL,AMP biosynthetic process
ADSL,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"
ADSL,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"
ADSL,aerobic respiration
ADSL,cytosol
ADSL,cytosol
ADSL,cytosol
ADSL,identical protein binding
ADSL,protein-containing complex
ADSL,purine nucleotide biosynthetic process
ADSL,purine ribonucleoside monophosphate biosynthetic process
ADSL,response to hypoxia
ADSL,response to muscle activity
ADSL,response to nutrient
ADSL,response to starvation
ADSS2,'de novo' AMP biosynthetic process
ADSS2,'de novo' AMP biosynthetic process
ADSS2,AMP biosynthetic process
ADSS2,AMP biosynthetic process
ADSS2,GTP binding
ADSS2,IMP metabolic process
ADSS2,adenylosuccinate synthase activity
ADSS2,adenylosuccinate synthase activity
ADSS2,adenylosuccinate synthase activity
ADSS2,aspartate metabolic process
ADSS2,cellular response to electrical stimulus
ADSS2,cytoplasm
ADSS2,cytosol
ADSS2,cytosol
ADSS2,extracellular exosome
ADSS2,immune system process
ADSS2,magnesium ion binding
ADSS2,mitochondrion
ADSS2,phosphate ion binding
ADSS2,plasma membrane
ADSS2,protein binding
ADSS2,purine ribonucleoside monophosphate biosynthetic process
ADSS2,response to ammonium ion
ADSS2,response to purine-containing compound
AFF2,G-quadruplex RNA binding
AFF2,G-quadruplex RNA binding
AFF2,RNA splicing
AFF2,brain development
AFF2,learning or memory
AFF2,mRNA processing
AFF2,negative regulation of gene expression
AFF2,nuclear speck
AFF2,nuclear speck
AFF2,nuclear speck organization
AFF2,regulation of RNA splicing
AFF2,regulation of RNA splicing
AFF2,regulation of gene expression
AFF2,regulation of gene expression
AFF2,super elongation complex
AGAP1,GTP binding
AGAP1,GTPase activator activity
AGAP1,GTPase activity
AGAP1,cytoplasm
AGAP1,metal ion binding
AGAP1,nucleus
AGAP1,phospholipid binding
AGAP1,positive regulation of GTPase activity
AGAP1,protein binding
AGAP1,protein transport
AGAP2,ATP binding
AGAP2,Flemming body
AGAP2,GTP binding
AGAP2,GTPase activator activity
AGAP2,GTPase activity
AGAP2,GTPase activity
AGAP2,actin cytoskeleton organization
AGAP2,activation of protein kinase activity
AGAP2,cytoplasm
AGAP2,cytoplasm
AGAP2,cytosol
AGAP2,endosomal transport
AGAP2,endosome
AGAP2,extracellular exosome
AGAP2,membrane
AGAP2,metal ion binding
AGAP2,negative regulation of neuron apoptotic process
AGAP2,negative regulation of protein catabolic process
AGAP2,nucleoplasm
AGAP2,nucleus
AGAP2,nucleus
AGAP2,nucleus
AGAP2,nucleus
AGAP2,phosphatidylinositol 3-kinase regulator activity
AGAP2,positive regulation of 1-phosphatidylinositol-3-kinase activity
AGAP2,positive regulation of GTPase activity
AGAP2,positive regulation of protein kinase activity
AGAP2,protein binding
AGAP2,protein kinase activator activity
AGAP2,protein kinase binding
AGAP2,protein transport
AGAP5,GTPase activator activity
AGAP5,metal ion binding
AGAP5,nucleus
